GLITTER! 4.4 [trunk]: Laser Ablation Analysis Results;;;;

Z:\2013\tretiakova_irina\RUN4.B;;;;
Created: Wed Dec 04 20:02:37 2013;;;;

GLITTER!: Isotope ratios.;;;;
Analysis_#;Pb207/Pb206;Pb206/U238;Pb207/U235;Pb208/Th232
INT2-01;26.63;19.02;12.91;39.58
INT2-02;57.81;29.48;26.58;65.16
INT2-03;40.64;34.82;22.68;88.32
INT2-04;29.05;19.64;14.03;43.14
INT2-05;61.85;6.75;10.87;22.38
INT2-06;27.65;19.1;13.51;45.01
INT2-07;46.78;29.79;24.9;94.01
INT2-08;55.97;8.69;13.22;22.65
INT2-09C;82.58;6.1;11.61;15.34
INT2-09R;77.56;5.54;10.22;12.21;;;;;;;;;;;;;;;;;;;;;;;;;;
INT2-10;39.94;30.82;22.38;100.34;;;;;;;;;;;;;;;;;;;;;;;;;;
INT2-11;38.98;22.38;18.94;75.6;;;;;;;;;;;;;;;;;;;;;;;;;;
INT2-12;62.39;6.9;11;19.72;;;;;;;;;;;;;;;;;;;;;;;;;;
INT2-13;41.27;22.98;19.6;73;;;;;;;;;;;;;;;;;;;;;;;;;;
INT2-14;33.46;19.45;15.85;54.04;;;;;;;;;;;;;;;;;;;;;;;;;;
STDGJ-09;45.35;7.29;9.46;23.9;;;;;;;;;;;;;;;;;;;;;;;;;;
STDGJ-10;45.18;7.32;9.6;24.34;;;;;;;;;;;;;;;;;;;;;;;;;;

GLITTER!: Mean Raw CPS background subtracted.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Analysis_#;P31;Ca43;Ti49;Y89;Zr91;Zr92;Nb93;La139;Ce140;Pr141;Nd146;Sm147;Eu151;Gd157;Tb159;Dy163;Ho165;Er166;Tm169;Yb173;Lu175;Hf177;Hf178;Ta181;Pb204;Pb206;Pb207;Pb208;Th232;U238
STDGJ-07;918;7;91;119277;30503588;47458572;770;1;10995;32;85;155;379;861;1535;3806;5181;7706;5102;7804;10023;1171585;1743319;381;0;16569;978;327;10932;186189
STDGJ-08;857;10;96;123575;31614972;49059596;855;0;11377;25;101;190;391;873;1578;3958;5392;8140;5291;8273;10408;1210912;1800259;413;9;17168;1014;319;11506;193700
610-04;6134;36696;7843;226342;25411;70637;211270;239797;250916;302171;51234;45586;157299;50263;340098;82006;347225;116804;360498;60418;360801;71819;106232;371970;4238;69001;62376;149408;301261;327417
91500-04;509;2;96;86328;34810164;53837640;597;1;1818;11;32;46;100;307;757;2693;4461;8244;6497;10826;13312;1189268;1766956;425;0;11709;877;1267;24569;73623
INT1-35;2285;56;304;489932;32125710;49981564;4172;4772;30779;2134;2064;728;923;2204;4727;14407;23681;42718;31672;51462;68549;1975487;2960158;1182;23;8027;443;1538;80469;146936
INT2-01;30317;2334;258;548706;31555694;49071124;2185;44007;112698;16466;12006;2170;348;4299;7344;19626;28707;44828;28610;40911;48378;1947338;2917871;1325;26;39193;4332;5654;63359;129292
INT2-02;6953;21;255;1028071;42567236;66303376;7284;430;21810;1029;2482;2862;1287;11543;19099;45661;57378;78646;44967;60627;65924;2756271;4089951;3229;5;8756;983;2180;26697;31391
INT2-03;2010;10;213;87979;23769848;36806448;263;176;9685;194;333;262;176;964;1632;3681;4395;6391;3854;5720;7552;1676003;2522044;57;16;8225;1493;6174;46237;17314
INT2-04;4277;15;463;485278;32522210;50491244;2262;304;16193;452;991;1131;319;4407;7945;20171;26665;38190;22797;31038;35363;1978675;2969714;1071;24;19693;2236;6690;71346;65233
INT2-05;7823;10;239;2426106;31730514;49212536;1688;49;5756;407;1005;1767;801;12589;29057;86402;129912;196525;119727;163277;185043;1573648;2357781;1002;7;25848;1435;5461;219352;352706
INT2-06;10365;508;715;634092;32295792;50105424;9515;8914;34861;3995;3144;1208;605;3663;7486;21816;32645;52467;35127;51700;60118;2598626;3837595;3940;17;140014;15871;16767;188077;467969
INT2-07;5652;151;2320;1391378;43741544;67983208;35258;6157;44888;5757;6642;4016;1507;12899;22498;57974;76783;109682;67451;92447;101061;2854141;4213959;4519;39;196596;30087;41158;408923;568883
INT2-08;53729;4432;465;1323868;42295944;65832164;25463;14339;88050;8174;4781;1912;1454;6447;14455;43393;66755;107996;73668;109763;129573;2788335;4128204;4440;17;35070;2385;9855;367488;418174
INT2-09C;6194;0;249;952889;41855212;64962900;2021;57;48112;275;683;918;1480;5049;10955;31795;48867;79303;53926;83262;104081;2187981;3282041;889;14;10588;583;4259;247701;210067
INT2-09R;4078;150;3554;661509;42737084;66047808;59584;17256;110809;10667;9476;2605;2807;5154;9071;23390;33156;52956;35773;54930;66424;2899946;4279714;5924;13;14408;775;4855;364876;301068
INT2-10;5747;43;267;367932;41993372;65459000;3357;524;29039;528;1022;928;1116;3818;6244;15258;19509;27071;16437;22675;25457;2108705;3172881;382;11;53662;9619;14038;113850;128890
INT2-11;3262;20;176;189385;37199108;57675032;1092;40;11967;57;223;360;311;1637;2953;7522;9788;13622;8184;11681;13723;2301973;3428679;535;5;47405;5682;11583;121071;153510
INT2-12;3593;30;122;900147;33679600;52234228;2293;1776;13298;787;852;738;168;4592;10658;32693;49696;75491;45112;59024;63041;1600023;2407011;1358;21;7637;428;934;37492;104339
INT2-13;3837;18;388;209634;39710308;61601488;905;109;3150;105;192;252;41;1250;2721;7301;10663;16763;11059;16140;18652;2604356;3850612;496;15;32877;3790;4374;46638;111335
INT2-14;3675;20;429;382846;33666736;52199448;1539;356;7228;311;395;428;215;2293;4873;13655;19907;31438;20452;29669;36002;2000913;3000712;766;0;25877;2950;4253;47360;92675
STDGJ-09;829;8;88;124414;31493414;49002292;751;1;11122;26;102;160;377;878;1558;4027;5407;8054;5363;8239;10426;1208475;1794689;379;0;17024;1000;337;11629;192801
STDGJ-10;765;0;89;130530;33423576;51896188;864;0;11913;30;108;172;435;912;1607;4145;5603;8583;5615;8674;11042;1285076;1906251;402;0;17968;1077;357;12145;203213
